entity_text,entity_type,source_url,source_title,sentence,confidence
Nicolae Sotir,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Georges Derose,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Roger Schmitt,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Jean-Marc Buchel,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
1983-1983,DATE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.6
Georges Komatov,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Éric Daniel,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Gérard Castan,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Jean-Marie Fabiani,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Jean-Michel Roche,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Vladimir Kondra,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
